POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
1-ALV-13-BA,REC-T-57,Recôncavo,BA,TERRA,Alvopetro,2019-08-17 00:00:00,2019-08-26 00:00:00,Não,
1-IMET-26A-BA,REC-T-212,Recôncavo,BA,TERRA,Imetame,2019-08-14 16:30:00,2019-09-01 00:00:00,Sim,2019-08-28 00:00:00
1-ENV-7-MA,PN-T-69,Parnaíba,MA,TERRA,Eneva,2019-08-14 06:00:00,2019-08-19 00:00:00,Não,
3-BGM-2-ES,ES-T-476,Espírito Santo,ES,TERRA,BGM,2019-07-21 21:30:00,2019-09-16 00:00:00,Não,
4-ENV-6-MA,PN-T-48,Parnaíba,MA,TERRA,Eneva,2019-07-21 18:00:00,2019-08-08 00:00:00,Sim,2019-10-17 00:00:00
1-IMET-26-BA,REC-T-212,Recôncavo,BA,TERRA,Imetame,2019-07-20 00:00:00,2019-08-10 00:00:00,Não,
3-SHEL-30-RJS,S_GATO_MAT,Santos,RJ,MAR,Shell Brasil,2019-06-26 02:55:00,2019-10-05 00:00:00,Sim,2019-12-04 00:00:00
3-BRSA-1368-SES,BM-SEAL-4,Sergipe,SE,MAR,Petrobras,2019-06-20 01:30:00,2019-10-09 00:00:00,Sim,2019-08-22 00:00:00
1-ENV-5-MA,PN-T-84,Parnaíba,MA,TERRA,Eneva,2019-06-15 12:00:00,2019-06-30 00:00:00,Sim,2019-06-28 00:00:00
1-BGM-1-ES,ES-T-476,Espírito Santo,ES,TERRA,BGM,2019-05-21 03:30:00,2019-07-13 00:00:00,Sim,2019-07-07 00:00:00
1-IMET-25-BA,REC-T-163,Recôncavo,BA,TERRA,Imetame,2019-05-19 23:30:00,2019-05-30 00:00:00,Não,
1-ENV-4-MA,PN-T-69,Parnaíba,MA,TERRA,Eneva,2019-05-18 00:00:00,2019-06-09 00:00:00,Sim,2019-06-11 00:00:00
